Gene	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils
ARRB1	15.9312	15.1982	18.9925	19.0913	18.7122	25.1842	23.0552	18.4449	7.89658	15.1143	57.3967	138.989	440.237	333.396	946.014	395.556	43.1076	32.6645	44.4661	31.2903	26.0742	32.7496
ASGR1	40.8701	42.4978	42.6129	12.1888	10.8262	13.2742	8.19555	5.12217	19.5566	304.793	10.8239	15.2478	976.707	108.722	25.2363	155.491	76.1762	33.7186	55.017	65.876	40.3944	75.0727
ASGR2	30.261	33.9085	33.9136	29.7802	36.8714	41.8225	34.4638	31.3827	113.23	167.104	29.554	29.8746	1484.96	36.1198	26.3739	760.726	48.7591	23.4962	23.9863	20.5297	51.182	49.9026
ATHL1	367.96	535.783	782.068	806.1	5333.94	794.948	231.179	1765.55	250.515	216.982	570.547	277.085	183.281	52.2582	167.503	132.632	31.1235	26.361	72.3494	60.4893	329.502	1241.01
ATP8B4	123.615	86.8059	83.7257	69.7936	59.8893	51.0142	77.3483	29.0534	58.6311	106.472	612.758	1035.86	219.344	106.071	33.3514	1163.25	641.208	109.357	1798.04	2105.05	386.195	95.6969
ATXN8OS	19.0349	17.5815	131.452	12.1085	11.6108	12.6599	12.9884	12.4236	16.7814	24.8867	10.3469	9.39832	10.4154	10.9988	13.344	11.4028	10.3486	12.3733	22.2085	8.57138	19.4385	15.5601
AZU1	26.0845	37.3159	54.5057	75.4942	9.99668	45.1416	20.3036	12.1019	11.8113	32.5905	411.645	118.871	96.5045	51.6017	163.901	315.833	63.6678	58.9848	600.003	1034.59	114.3	82.3713
BACH2	4442.15	1237.16	145.925	716.576	1423.66	449.179	442.476	245.058	444.685	597.151	478.099	511.12	52.1092	60.7307	78.3338	56.2809	58.8643	82.8144	78.9469	68.3001	187.935	132.765
BANK1	7633.96	9177.36	108.775	27.0887	39.5645	35.5128	4.92986	18.9925	33.4653	55.7594	33.0048	37.1949	86.5872	7.01418	16.0203	29.1926	49.2294	19.4114	79.8155	92.5394	993.031	39.1851
BARX2	16.2562	22.6251	15.0319	14.6807	13.8989	10.8993	17.902	19.7435	400.092	134.587	19.0244	26.1019	18.1562	17.1419	15.5661	28.0728	22.6502	21.7593	48.1766	26.3322	65.6124	61.5585
BCL11B	166.581	133.714	149.821	4183.74	7177.23	4962.94	842.214	3186.54	2748.11	2581.69	818.211	512.276	88.0268	78.0084	68.039	51.0786	95.8182	76.4604	53.8648	52.1582	306.988	166.893
BCL2A1	112.642	314.019	76.3933	575.035	452.914	755.858	1206.51	698.651	171.063	431.975	539.959	526.577	2261.39	5560.46	7038.54	195.96	135.592	5551.25	869.147	3291.23	13257.9	8790.33
BCL7A	1097.31	437.915	201.809	119.268	118.184	78.5216	52.2568	70.5382	182.583	53.793	31.5017	60.2289	53.3365	55.798	131.354	185.738	281.322	211.805	156.316	190.531	79.7457	121.286
BEND5	571.201	267.741	197.855	159.675	219.568	64.9846	51.4661	54.2462	28.0224	56.1774	74.6435	37.2195	57.9841	67.0472	57.1138	51.6149	66.0907	79.3369	54.2388	63.1844	82.1673	102.157
BFSP1	8.61552	12.0925	9.8349	19.6636	130.383	8.91036	12.0895	59.3268	14.5326	111.388	34.6145	19.4517	21.3786	15.6821	36.9511	30.8024	19.3963	12.2006	34.0229	49.685	13.218	19.0865
BHLHE41	227.284	379.25	981.107	45.2704	17.6763	26.7059	66.1759	22.2227	114.518	88.6299	51.5342	51.5861	42.8459	5455.34	143.868	325.13	328.116	552.052	257.349	252.502	54.1555	77.6795
BIRC3	1762.32	1072.24	363.816	370.931	677.981	1121.42	2888.71	402.562	2449.37	238.925	283.687	1173.96	159.952	230.765	1971.11	237.502	442.73	10553.6	71.2562	1951.56	1582.23	132.854
BLK	1788.42	3284.24	42.0395	136.394	67.9995	19.1653	10.4213	89.856	9.58007	20.7148	10.0566	12.2576	34.1341	15.5241	11.8205	14.4167	15.2858	16.744	10.557	8.16495	38.7002	9.8636
BMP2K	282.31	216.434	104.853	117.765	109.308	42.0689	146.678	224.313	77.321	118.818	107.043	117.2	350.591	323.587	655.432	971.804	427.676	620.462	2822.78	2472.96	900.238	588.904
BPI	10.4697	14.0317	15.2478	64.1389	41.2995	12.5077	6.38254	15.1958	10.7796	19.4374	837.201	166.062	280.002	15.0218	16.5337	25.9603	13.4825	14.913	973.6	829.761	390.588	60.8005
BRAF	2571.8	974.313	492.069	178.693	101.027	155.551	178.352	102.126	593.323	441.028	298.719	257.18	264.878	312.931	369.771	191.009	230.095	360.063	153.481	301.844	925.522	721.28
BRSK2	10.4459	4.45687	34.3224	10.4622	7.92416	16.1904	40.5037	54.7305	14.7642	61.6161	18.2703	17.2201	11.7586	9.84857	10.5262	8.88663	7.49855	28.81	46.236	15.4819	8.2523	11.8617
BST1	65.2184	67.5879	33.7686	68.8556	129.37	67.6999	71.8232	62.2914	44.3033	322.461	151.41	86.1371	1567.22	390.539	73.7683	209.465	154.277	113.982	427.5	444.168	10.1611	1750.23
BTNL8	15.2224	13.2676	9.87055	13.4955	23.1704	17.4691	21.2181	16.6432	35.1461	44.0867	11.5487	13.7168	20.1092	25.7234	18.6394	10.7103	16.4447	18.9824	13.13	16.6824	99.5827	1062.58
